province;red;green;blue;x;x
2510;170;162;197;;x
2511;2;165;70;;x
2512;44;168;198;;x
2513;86;171;71;;x
2514;128;174;199;;x
2515;170;177;72;;x
2516;2;180;200;;x
2517;44;183;73;;x
2518;86;186;201;;x
2519;128;189;74;;x
2520;170;192;202;;x
2521;2;195;75;;x
2522;44;198;203;;x
2523;86;201;76;;x
2524;128;204;204;;x
2525;170;207;77;;x
2526;2;210;205;;x
2527;44;0;78;;x
2528;86;3;206;;x
2529;128;6;79;;x
2530;170;9;207;;x
2531;2;12;80;;x
2532;44;15;208;;x
2533;86;18;81;;x
2534;128;21;209;;x
2535;170;24;82;;x
2536;2;27;210;;x
2537;44;30;83;;x
2538;86;33;211;;x
2539;128;36;84;;x
2540;170;39;212;;x
2541;2;42;85;;x
2542;44;45;213;;x
2543;86;48;86;;x
2544;128;51;214;;x
2545;170;54;87;;x
2546;2;57;215;;x
2547;44;60;88;;x
2548;86;63;216;;x
2549;128;66;89;;x
2550;170;69;217;;x
2551;2;72;90;;x
2552;44;75;218;;x
2553;86;78;91;;x
2554;128;81;219;;x
2555;170;84;92;;x
2556;2;87;220;;x
2557;44;90;93;;x
2558;86;93;221;;x
2559;128;96;94;;x
2560;170;99;222;;x
2561;2;102;95;;x
2562;44;105;223;;x
2563;86;108;96;;x
2564;128;111;224;;x
2565;170;114;97;;x
2566;2;117;225;;x
2567;44;120;98;;x
2568;86;123;226;;x
2569;128;126;99;;x
2570;170;129;227;;x
2571;2;132;0;;x
2572;44;135;128;;x
2573;86;138;1;;x
2574;128;141;129;;x
2575;170;144;2;;x
2576;2;147;130;;x
2577;44;150;3;;x
2578;86;153;131;;x
2579;128;156;4;;x
2580;170;159;132;;x
2581;2;162;5;;x
2582;44;165;133;;x
2583;86;168;6;;x
2584;128;171;134;;x
2585;170;174;7;;x
2586;2;177;135;;x
2587;44;180;8;;x
2588;86;183;136;;x
2589;128;186;9;;x
2590;170;189;137;;x
2591;2;192;10;;x
2592;44;195;138;;x
2593;86;198;11;;x
2594;128;201;139;;x
2595;170;204;12;;x
2596;2;207;140;;x
2597;44;210;13;;x
2598;86;0;141;;x
2599;128;3;14;;x
2600;170;6;142;;x
2601;2;9;15;;x
2602;44;12;143;;x
2603;86;15;16;;x
2604;128;18;144;;x
2605;170;21;17;;x
2606;2;24;145;;x
2607;44;27;18;;x
2608;86;30;146;;x
2609;128;33;19;;x
2610;170;36;147;;x
2611;2;39;20;;x
2612;44;42;148;;x
2613;86;45;21;;x
2614;128;48;149;;x
2615;170;51;22;;x
2616;2;54;150;;x
2617;44;57;23;;x
2618;86;60;151;;x
2619;128;63;24;;x
2620;170;66;152;;x
2621;2;69;25;;x
2622;44;72;153;;x
2623;86;75;26;;x
2624;128;78;154;;x
2625;170;81;27;;x
2626;2;84;155;;x
2627;44;87;28;;x
2628;86;90;156;;x
2629;128;93;29;;x
2630;170;96;157;;x
2631;2;99;30;;x
2632;44;102;158;;x
2633;86;105;31;;x
2634;128;108;159;;x
2635;170;111;32;;x
2636;2;114;160;;x
2637;44;117;33;;x
2638;86;120;161;;x
2639;128;123;34;;x
2640;170;126;162;;x
2641;2;129;35;;x
2642;44;132;163;;x
2643;86;135;36;;x
2644;128;138;164;;x
2645;170;141;37;;x
2646;2;144;165;;x
2647;44;147;38;;x
2648;86;150;166;;x
2649;128;153;39;;x
2650;170;156;167;;x
2651;2;159;40;;x
2652;44;162;168;;x
2653;86;165;41;;x
2654;128;168;169;;x
2655;170;171;42;;x
2656;2;174;170;;x
2657;44;177;43;;x
2658;86;180;171;;x
2659;128;183;44;;x
2660;170;186;172;;x
2661;2;189;45;;x
2662;44;192;173;;x
2663;86;195;46;;x
2664;128;198;174;;x
2665;170;201;47;;x
2666;2;204;175;;x
2667;44;207;48;;x
2668;86;210;176;;x
2669;128;0;49;;x
2670;170;3;177;;x
2671;2;6;50;;x
2672;44;9;178;;x
2673;86;12;51;;x
2674;128;15;179;;x
2675;170;18;52;;x
2676;2;21;180;;x
2677;44;24;53;;x
2678;86;27;181;;x
2679;128;30;54;;x
2680;170;33;182;;x
2681;2;36;55;;x
2682;44;39;183;;x
2683;86;42;56;;x
2684;128;45;184;;x
2685;170;48;57;;x
2686;2;51;185;;x
2687;44;54;58;;x
2688;86;57;186;;x
2689;128;60;59;;x
2690;170;63;187;;x
2691;2;66;60;;x
2692;44;69;188;;x
2693;86;72;61;;x
2694;128;75;189;;x
2695;170;78;62;;x
2696;2;81;190;;x
2697;44;84;63;;x
2698;86;87;191;;x
2699;128;90;64;;x
2700;170;93;192;;x
2701;2;96;65;;x
2702;44;99;193;;x
2703;86;102;66;;x
2704;128;105;194;;x
2705;170;108;67;;x
2706;2;111;195;;x
2707;44;114;68;;x
2708;86;117;196;;x
2709;128;120;69;;x
2710;170;123;197;;x
2711;2;126;70;;x
2712;44;129;198;;x
2713;86;132;71;;x
2714;128;135;199;;x
2715;170;138;72;;x
2716;2;141;200;;x
2717;44;144;73;;x
2718;86;147;201;;x
2719;128;150;74;;x
2720;170;153;202;;x
2721;2;156;75;;x
2722;44;159;203;;x
2723;86;162;76;;x
2724;128;165;204;;x
2725;170;168;77;;x
2726;2;171;205;;x
2727;44;174;78;;x
2728;86;177;206;;x
2729;128;180;79;;x
2730;170;183;207;;x
2731;2;186;80;;x
2732;44;189;208;;x
2733;86;192;81;;x
2734;128;195;209;;x
2735;170;198;82;;x
2736;2;201;210;;x
2737;44;204;83;;x
2738;86;207;211;;x
2739;128;210;84;;x
2740;170;0;212;;x
2741;2;3;85;;x
2742;44;6;213;;x
2743;86;9;86;;x
2744;128;12;214;;x
2745;170;15;87;;x
2746;2;18;215;;x
2747;44;21;88;;x
2748;86;24;216;;x
2749;128;27;89;;x
2750;170;30;217;;x
2751;2;33;90;;x
2752;44;36;218;;x
2753;86;39;91;;x
2754;128;42;219;;x
2755;170;45;92;;x
2756;2;48;220;;x
2757;44;51;93;;x
2758;86;54;221;;x
2759;128;57;94;;x
2760;170;60;222;;x
2761;2;63;95;;x
2762;44;66;223;;x
2763;86;69;96;;x
2764;128;72;224;;x
2765;170;75;97;;x
2766;2;78;225;;x
2767;44;81;98;;x
2768;86;84;226;;x
2769;128;87;99;;x
2770;170;90;227;;x
2771;2;93;0;;x
2772;44;96;128;;x
2773;86;99;1;;x
2774;128;102;129;;x
2775;170;105;2;;x
2776;2;108;130;;x
2777;44;111;3;;x
2778;86;114;131;;x
2779;128;117;4;;x
2780;170;120;132;;x
2781;2;123;5;;x
2782;44;126;133;;x
2783;86;129;6;;x
2784;128;132;134;;x
2785;170;135;7;;x
2786;2;138;135;;x
2787;44;141;8;;x
2788;86;144;136;;x
2789;128;147;9;;x
2790;170;150;137;;x
2791;2;153;10;;x
2792;44;156;138;;x
2793;86;159;11;;x
2794;128;162;139;;x
2795;170;165;12;;x
2796;2;168;140;;x
2797;44;171;13;;x
2798;86;174;141;;x
2799;128;177;14;;x
2800;170;180;142;;x
2801;2;183;15;;x
2802;44;186;143;;x
2803;86;189;16;;x
2804;128;192;144;;x
2805;170;195;17;;x
2806;2;198;145;;x
2807;44;201;18;;x
2808;86;204;146;;x
2809;128;207;19;;x
2810;170;210;147;;x
2811;2;0;20;;x
2812;44;3;148;;x
2813;86;6;21;;x
2814;128;9;149;;x
2815;170;12;22;;x
2816;2;15;150;;x
2817;44;18;23;;x
2818;86;21;151;;x
2819;128;24;24;;x
2820;170;27;152;;x
2821;2;30;25;;x
2822;44;33;153;;x
2823;86;36;26;;x
2824;128;39;154;;x
2825;170;42;27;;x
2826;2;45;155;;x
2827;44;48;28;;x
2828;86;51;156;;x
2829;128;54;29;;x
2830;170;57;157;;x
2831;2;60;30;;x
2832;44;63;158;;x
2833;86;66;31;;x
2834;128;69;159;;x
2835;170;72;32;;x
2836;2;75;160;;x
2837;44;78;33;;x
2838;86;81;161;;x
2839;128;84;34;;x
2840;170;87;162;;x
2841;2;90;35;;x
2842;44;93;163;;x
2843;86;96;36;;x
2844;128;99;164;;x
2845;170;102;37;;x
2846;2;105;165;;x
2847;44;108;38;;x
2848;86;111;166;;x
2849;128;114;39;;x
2850;170;117;167;;x
2851;2;120;40;;x
2852;44;123;168;;x
2853;86;126;41;;x
2854;128;129;169;;x
2855;170;132;42;;x
2856;2;135;170;;x
2857;44;138;43;;x
2858;86;141;171;;x
2859;128;144;44;;x
2860;170;147;172;;x
2861;2;150;45;;x
2862;44;153;173;;x
2863;86;156;46;;x
2864;128;159;174;;x
2865;170;162;47;;x
2866;2;165;175;;x
2867;44;168;48;;x
2868;86;171;176;;x
2869;128;174;49;;x
2870;170;177;177;;x
2871;2;180;50;;x
2872;44;183;178;;x
2873;86;186;51;;x
2874;128;189;179;;x
2875;170;192;52;;x
2876;2;195;180;;x
2877;44;198;53;;x
2878;86;201;181;;x
2879;128;204;54;;x
2880;170;207;182;;x
2881;2;210;55;;x
2882;44;0;183;;x
2883;86;3;56;;x
2884;128;6;184;;x
2885;170;9;57;;x
2886;2;12;185;;x
2887;44;15;58;;x
2888;86;18;186;;x
2889;128;21;59;;x
2890;170;24;187;;x
2891;2;27;60;;x
2892;44;30;188;;x
2893;86;33;61;;x
2894;128;36;189;;x
2895;170;39;62;;x
2896;2;42;190;;x
2897;44;45;63;;x
2898;86;48;191;;x
2899;128;51;64;;x
2900;170;54;192;;x
2901;2;57;65;;x
2902;44;60;193;;x
2903;86;63;66;;x
2904;128;66;194;;x
2905;170;69;67;;x
2906;2;72;195;;x
2907;44;75;68;;x
2908;86;78;196;;x
2909;128;81;69;;x
2910;170;84;197;;x
2911;2;87;70;;x
2912;44;90;198;;x
2913;86;93;71;;x
2914;128;96;199;;x
2915;170;99;72;;x
2916;2;102;200;;x
2917;44;105;73;;x
2918;86;108;201;;x
2919;128;111;74;;x
2920;170;114;202;;x
2921;2;117;75;;x
2922;44;120;203;;x
2923;86;123;76;;x
2924;128;126;204;;x
2925;170;129;77;;x
2926;2;132;205;;x
2927;44;135;78;;x
2928;86;138;206;;x
2929;128;141;79;;x
2930;170;144;207;;x
2931;2;147;80;;x
2932;44;150;208;;x
2933;86;153;81;;x
2934;128;156;209;;x
2935;170;159;82;;x
2936;2;162;210;;x
2937;44;165;83;;x
2938;86;168;211;;x
2939;128;171;84;;x
2940;170;174;212;;x
2941;2;177;85;;x
2942;44;180;213;;x
2943;86;183;86;;x
2944;128;186;214;;x
2945;170;189;87;;x
2946;2;192;215;;x
2947;44;195;88;;x
2948;86;198;216;;x
2949;128;201;89;;x
2950;170;204;217;;x
2951;2;207;90;;x
2952;44;210;218;;x
2953;86;0;91;;x
2954;128;3;219;;x
2955;170;6;92;;x
2956;2;9;220;;x
2957;44;12;93;;x
2958;86;15;221;;x
2959;128;18;94;;x
2960;170;21;222;;x
2961;2;24;95;;x
2962;44;27;223;;x
2963;86;30;96;;x
2964;128;33;224;;x
2965;170;36;97;;x
2966;2;39;225;;x
2967;44;42;98;;x
2968;86;45;226;;x
2969;128;48;99;;x
2970;170;51;227;;x
2971;3;54;0;;x
2972;45;57;128;;x
2973;87;60;1;;x
2974;129;63;129;;x
2975;171;66;2;;x
2976;3;69;130;;x
2977;45;72;3;;x
2978;87;75;131;;x
2979;129;78;4;;x
2980;171;81;132;;x
2981;3;84;5;;x
2982;45;87;133;;x
2983;87;90;6;;x
2984;129;93;134;;x
2985;171;96;7;;x
2986;3;99;135;;x
2987;45;102;8;;x
2988;87;105;136;;x
2989;129;108;9;;x
2990;171;111;137;;x
2991;3;114;10;;x
2992;45;117;138;;x
2993;87;120;11;;x
2994;129;123;139;;x
2995;171;126;12;;x
2996;3;129;140;;x
2997;45;132;13;;x
2998;87;135;141;;x
2999;129;138;14;;x
3000;171;141;142;;x
3001;3;144;15;;x
3002;45;147;143;;x
3003;87;150;16;;x
3004;129;153;144;;x
3005;171;156;17;;x
3006;3;159;145;;x
3007;45;162;18;;x
3008;87;165;146;;x
3009;129;168;19;;x
3010;171;171;147;;x
3011;3;174;20;;x
3012;45;177;148;;x
3013;87;180;21;;x
3014;129;183;149;;x
3015;171;186;22;;x
3016;3;189;150;;x
3017;45;192;23;;x
3018;87;195;151;;x
3019;129;198;24;;x
3020;171;201;152;;x
3021;3;204;25;;x
3022;45;207;153;;x
3023;87;210;26;;x
3024;129;0;154;;x
3025;171;3;27;;x
3026;3;6;155;;x
3027;45;9;28;;x
3028;87;12;156;;x
3029;129;15;29;;x
3030;171;18;157;;x
3031;3;21;30;;x
3032;45;24;158;;x
3033;87;27;31;;x
3034;129;30;159;;x
3035;171;33;32;;x
3036;3;36;160;;x
3037;45;39;33;;x
3038;87;42;161;;x
3039;129;45;34;;x
3040;171;48;162;;x
3041;3;51;35;;x
3042;45;54;163;;x
3043;87;57;36;;x
3044;129;60;164;;x
3045;171;63;37;;x
3046;3;66;165;;x
3047;45;69;38;;x
3048;87;72;166;;x
3049;129;75;39;;x
3050;171;78;167;;x
3051;3;81;40;;x
3052;45;84;168;;x
3053;87;87;41;;x
3054;129;90;169;;x
3055;171;93;42;;x
3056;3;96;170;;x
3057;45;99;43;;x
3058;87;102;171;;x
3059;129;105;44;;x
3060;171;108;172;;x
3061;3;111;45;;x
3062;45;114;173;;x
3063;87;117;46;;x
3064;129;120;174;;x
3065;171;123;47;;x
3066;3;126;175;;x
3067;45;129;48;;x
3068;87;132;176;;x
3069;129;135;49;;x
3070;171;138;177;;x
3071;3;141;50;;x
3072;45;144;178;;x
3073;87;147;51;;x
3074;129;150;179;;x
3075;171;153;52;;x
3076;3;156;180;;x
3077;45;159;53;;x
3078;87;162;181;;x
3079;129;165;54;;x
3080;171;168;182;;x
3081;3;171;55;;x
3082;45;174;183;;x
3083;87;177;56;;x
3084;129;180;184;;x
3085;171;183;57;;x
3086;3;186;185;;x
3087;45;189;58;;x
3088;87;192;186;;x
3089;129;195;59;;x
3090;171;198;187;;x
3091;3;201;60;;x
3092;45;204;188;;x
3093;87;207;61;;x
3094;129;210;189;;x
3095;171;0;62;;x
3096;3;3;190;;x
3097;45;6;63;;x
3098;87;9;191;;x
3099;129;12;64;;x
3100;171;15;192;;x
3101;3;18;65;;x
3102;45;21;193;;x
3103;87;24;66;;x
3104;129;27;194;;x
3105;171;30;67;;x
3106;3;33;195;;x
3107;45;36;68;;x
3108;87;39;196;;x
3109;129;42;69;;x
3110;171;45;197;;x
3111;3;48;70;;x
3112;45;51;198;;x
3113;87;54;71;;x
3114;129;57;199;;x
3115;171;60;72;;x
3116;3;63;200;;x
3117;45;66;73;;x
3118;87;69;201;;x
3119;129;72;74;;x
3120;171;75;202;;x
3121;3;78;75;;x
3122;45;81;203;;x
3123;87;84;76;;x
3124;129;87;204;;x
3125;171;90;77;;x
3126;3;93;205;;x
3127;45;96;78;;x
3128;87;99;206;;x
3129;129;102;79;;x
3130;171;105;207;;x
3131;3;108;80;;x
3132;45;111;208;;x
3133;87;114;81;;x
3134;129;117;209;;x
3135;171;120;82;;x
3136;3;123;210;;x
3137;45;126;83;;x
3138;87;129;211;;x
3139;129;132;84;;x
3140;171;135;212;;x
3141;3;138;85;;x
3142;45;141;213;;x
3143;87;144;86;;x
3144;129;147;214;;x
3145;171;150;87;;x
3146;3;153;215;;x
3147;45;156;88;;x
3148;87;159;216;;x
3149;129;162;89;;x
3150;171;165;217;;x
3151;3;168;90;;x
3152;45;171;218;;x
3153;87;174;91;;x
3154;129;177;219;;x
3155;171;180;92;;x
3156;3;183;220;;x
3157;45;186;93;;x
3158;87;189;221;;x
3159;129;192;94;;x
3160;171;195;222;;x
3161;3;198;95;;x
3162;45;201;223;;x
3163;87;204;96;;x
3164;129;207;224;;x
3165;171;210;97;;x
3166;3;0;225;;x
3167;45;3;98;;x
3168;87;6;226;;x
3169;129;9;99;;x
3170;171;12;227;;x
3171;3;15;0;;x
3172;45;18;128;;x
3173;87;21;1;;x
3174;129;24;129;;x
3175;171;27;2;;x
3176;3;30;130;;x
3177;45;33;3;;x
3178;87;36;131;;x
3179;129;39;4;;x
3180;171;42;132;;x
3181;3;45;5;;x
3182;45;48;133;;x
3183;87;51;6;;x
3184;129;54;134;;x
3185;171;57;7;;x
3186;3;60;135;;x
3187;45;63;8;;x
3188;87;66;136;;x
3189;129;69;9;;x
3190;171;72;137;;x
3191;3;75;10;;x
3192;45;78;138;;x
3193;87;81;11;;x
3194;129;84;139;;x
3195;171;87;12;;x
3196;3;90;140;;x
3197;45;93;13;;x
3198;87;96;141;;x
3199;129;99;14;;x
3200;171;102;142;;x
3201;3;105;15;;x
3202;45;108;143;;x
3203;87;111;16;;x
3204;129;114;144;;x
3205;171;117;17;;x
3206;3;120;145;;x
3207;45;123;18;;x
3208;87;126;146;;x
3209;129;129;19;;x
3210;171;132;147;;x
3211;3;135;20;;x
3212;45;138;148;;x
3213;87;141;21;;x
3214;129;144;149;;x
3215;171;147;22;;x
3216;3;150;150;;x
3217;45;153;23;;x
3218;87;156;151;;x
3219;129;159;24;;x
3220;171;162;152;;x
3221;3;165;25;;x
3222;45;168;153;;x
3223;87;171;26;;x
3224;129;174;154;;x
3225;171;177;27;;x
3226;3;180;155;;x
3227;45;183;28;;x
3228;87;186;156;;x
3229;129;189;29;;x
3230;171;192;157;;x
3231;3;195;30;;x
3232;45;198;158;;x
3233;87;201;31;;x
3234;129;204;159;;x
3235;171;207;32;;x
3236;3;210;160;;x
3237;45;0;33;;x
3238;87;3;161;;x
3239;129;6;34;;x
3240;171;9;162;;x
3241;3;12;35;;x
3242;45;15;163;;x
3243;87;18;36;;x
3244;129;21;164;;x
3245;171;24;37;;x
3246;3;27;165;;x
3247;45;30;38;;x
3248;87;33;166;;x
3249;129;36;39;;x
3250;171;39;167;;x
3251;3;42;40;;x
3252;45;45;168;;x
3253;87;48;41;;x
3254;129;51;169;;x
3255;171;54;42;;x
3256;3;57;170;;x
3257;45;60;43;;x
3258;87;63;171;;x
3259;129;66;44;;x
3260;171;69;172;;x
3261;3;72;45;;x
3262;45;75;173;;x
3263;87;78;46;;x
3264;129;81;174;;x
3265;171;84;47;;x
3266;3;87;175;;x
3267;45;90;48;;x
3268;87;93;176;;x
3269;129;96;49;;x
3270;171;99;177;;x
3271;3;102;50;;x
3272;45;105;178;;x
3273;87;108;51;;x
3274;129;111;179;;x
3275;171;114;52;;x
3276;3;117;180;;x
3277;45;120;53;;x
3278;87;123;181;;x
3279;129;126;54;;x
3280;171;129;182;;x
3281;3;132;55;;x
3282;45;135;183;;x
3283;87;138;56;;x
3284;129;141;184;;x
3285;171;144;57;;x
3286;3;147;185;;x
3287;45;150;58;;x
3288;87;153;186;;x
3289;129;156;59;;x
3290;171;159;187;;x
3291;3;162;60;;x
3292;45;165;188;;x
3293;87;168;61;;x
3294;129;171;189;;x
3295;171;174;62;;x
3296;3;177;190;;x
3297;45;180;63;;x
3298;87;183;191;;x
3299;129;186;64;;x
3300;171;189;192;;x
3301;3;192;65;;x
3302;45;195;193;;x
3303;87;198;66;;x
3304;129;201;194;;x
3305;171;204;67;;x
3306;3;207;195;;x
3307;45;210;68;;x
3308;87;0;196;;x
3309;129;3;69;;x
3310;171;6;197;;x
3311;3;9;70;;x
3312;45;12;198;;x
3313;87;15;71;;x
3314;129;18;199;;x
3315;171;21;72;;x
3316;3;24;200;;x
3317;45;27;73;;x
3318;87;30;201;;x
3319;129;33;74;;x
3320;171;36;202;;x
3321;3;39;75;;x
3322;45;42;203;;x
3323;87;45;76;;x
3324;129;48;204;;x
3325;171;51;77;;x
3326;3;54;205;;x
3327;45;57;78;;x
3328;87;60;206;;x
3329;129;63;79;;x
3330;171;66;207;;x
3331;3;69;80;;x
3332;45;72;208;;x
3333;87;75;81;;x
3334;129;78;209;;x
3335;171;81;82;;x
3336;3;84;210;;x
3337;45;87;83;;x
3338;87;90;211;;x
3339;129;93;84;;x
3340;171;96;212;;x
3341;3;99;85;;x
3342;45;102;213;;x
3343;87;105;86;;x
3344;129;108;214;;x
3345;171;111;87;;x
3346;3;114;215;;x
3347;45;117;88;;x
3348;87;120;216;;x
3349;129;123;89;;x
3350;171;126;217;;x
3351;3;129;90;;x
3352;45;132;218;;x
3353;87;135;91;;x
3354;129;138;219;;x
3355;171;141;92;;x
3356;3;144;220;;x
3357;45;147;93;;x
3358;87;150;221;;x
3359;129;153;94;;x
3360;171;156;222;;x
3361;3;159;95;;x
3362;45;162;223;;x
3363;87;165;96;;x
3364;129;168;224;;x
3365;171;171;97;;x
3366;3;174;225;;x
3367;45;177;98;;x
3368;87;180;226;;x
3369;129;183;99;;x
3370;171;186;227;;x
3371;3;189;0;;x
3372;45;192;128;;x
3373;87;195;1;;x
3374;129;198;129;;x
3375;171;201;2;;x
3376;3;204;130;;x
3377;45;207;3;;x
3378;87;210;131;;x
3379;129;0;4;;x
3380;171;3;132;;x
3381;3;6;5;;x
3382;45;9;133;;x
3383;87;12;6;;x
3384;129;15;134;;x
3385;171;18;7;;x
3386;3;21;135;;x
3387;45;24;8;;x
3388;87;27;136;;x
3389;129;30;9;;x
3390;171;33;137;;x
3391;3;36;10;;x
3392;45;39;138;;x
3393;87;42;11;;x
3394;129;45;139;;x
3395;171;48;12;;x
3396;3;51;140;;x
3397;45;54;13;;x
3398;87;57;141;;x
3399;129;60;14;;x
3400;171;63;142;;x
3401;3;66;15;;x
3402;45;69;143;;x
3403;87;72;16;;x
3404;129;75;144;;x
3405;171;78;17;;x
3406;3;81;145;;x
3407;45;84;18;;x
3408;87;87;146;;x
3409;129;90;19;;x
3410;171;93;147;;x
3411;3;96;20;;x
3412;45;99;148;;x
3413;87;102;21;;x
3414;129;105;149;;x
3415;171;108;22;;x
3416;3;111;150;;x
3417;45;114;23;;x
3418;87;117;151;;x
3419;129;120;24;;x
3420;171;123;152;;x
3421;3;126;25;;x
3422;45;129;153;;x
3423;87;132;26;;x
3424;129;135;154;;x
3425;171;138;27;;x
3426;3;141;155;;x
3427;45;144;28;;x
3428;87;147;156;;x
3429;129;150;29;;x
3430;171;153;157;;x
3431;3;156;30;;x
3432;45;159;158;;x
3433;87;162;31;;x
3434;129;165;159;;x
3435;171;168;32;;x
3436;3;171;160;;x
3437;45;174;33;;x
3438;87;177;161;;x
3439;129;180;34;;x
3440;171;183;162;;x
3441;3;186;35;;x
3442;45;189;163;;x
3443;87;192;36;;x
3444;129;195;164;;x
3445;171;198;37;;x
3446;3;201;165;;x
3447;45;204;38;;x
3448;87;207;166;;x
3449;129;210;39;;x
3450;171;0;167;;x
3451;3;3;40;;x
3452;45;6;168;;x
3453;87;9;41;;x
3454;129;12;169;;x
3455;171;15;42;;x
3456;3;18;170;;x
3457;45;21;43;;x
3458;87;24;171;;x
3459;129;27;44;;x
3460;171;30;172;;x
3461;3;33;45;;x
3462;45;36;173;;x
3463;87;39;46;;x
3464;129;42;174;;x
3465;171;45;47;;x
3466;3;48;175;;x
3467;45;51;48;;x
3468;87;54;176;;x
3469;129;57;49;;x
3470;171;60;177;;x
3471;3;63;50;;x
3472;45;66;178;;x
3473;87;69;51;;x
3474;129;72;179;;x
3475;171;75;52;;x
3476;3;78;180;;x
3477;45;81;53;;x
3478;87;84;181;;x
3479;129;87;54;;x
3480;171;90;182;;x
3481;3;93;55;;x
3482;45;96;183;;x
3483;87;99;56;;x
3484;129;102;184;;x
3485;171;105;57;;x
3486;3;108;185;;x
3487;45;111;58;;x
3488;87;114;186;;x
3489;129;117;59;;x
3490;171;120;187;;x
3491;3;123;60;;x
3492;45;126;188;;x
3493;87;129;61;;x
3494;129;132;189;;x
3495;171;135;62;;x
3496;3;138;190;;x
3497;45;141;63;;x
3498;87;144;191;;x
3499;129;147;64;;x
3500;171;150;192;;x
3501;3;153;65;;x
3502;45;156;193;;x
3503;87;159;66;;x
3504;129;162;194;;x
3505;171;165;67;;x
3506;3;168;195;;x
3507;45;171;68;;x
3508;87;174;196;;x
3509;129;177;69;;x
3510;171;180;197;;x
3511;3;183;70;;x
3512;45;186;198;;x
3513;87;189;71;;x
3514;129;192;199;;x
3515;171;195;72;;x
3516;3;198;200;;x
3517;45;201;73;;x
3518;87;204;201;;x
3519;129;207;74;;x
3520;171;210;202;;x
3521;3;0;75;;x
3522;45;3;203;;x
3523;87;6;76;;x
3524;129;9;204;;x
3525;171;12;77;;x
3526;3;15;205;;x
3527;45;18;78;;x
3528;87;21;206;;x
3529;129;24;79;;x
3530;171;27;207;;x
3531;3;30;80;;x
3532;45;33;208;;x
3533;87;36;81;;x
3534;129;39;209;;x
3535;171;42;82;;x
3536;3;45;210;;x
3537;45;48;83;;x
3538;87;51;211;;x
3539;129;54;84;;x
3540;171;57;212;;x
3541;3;60;85;;x
3542;45;63;213;;x
3543;87;66;86;;x
3544;129;69;214;;x
3545;171;72;87;;x
3546;3;75;215;;x
3547;45;78;88;;x
3548;87;81;216;;x
3549;129;84;89;;x
3550;171;87;217;;x
3551;3;90;90;;x
3552;45;93;218;;x
3553;87;96;91;;x
3554;129;99;219;;x
3555;171;102;92;;x
3556;3;105;220;;x
3557;45;108;93;;x
3558;87;111;221;;x
3559;129;114;94;;x
3560;171;117;222;;x
3561;3;120;95;;x
3562;45;123;223;;x
3563;87;126;96;;x
3564;129;129;224;;x
3565;171;132;97;;x
3566;3;135;225;;x
3567;45;138;98;;x
3568;87;141;226;;x
3569;129;144;99;;x
3570;171;147;227;;x
3571;3;150;0;;x
3572;45;153;128;;x
3573;87;156;1;;x
3574;129;159;129;;x
3575;171;162;2;;x
3576;3;165;130;;x
3577;45;168;3;;x
3578;87;171;131;;x
3579;129;174;4;;x
3580;171;177;132;;x
3581;3;180;5;;x
3582;45;183;133;;x
3583;87;186;6;;x
3584;129;189;134;;x
3585;171;192;7;;x
3586;3;195;135;;x
3587;45;198;8;;x
3588;87;201;136;;x
3589;129;204;9;;x
3590;171;207;137;;x
3591;3;210;10;;x
3592;45;0;138;;x
3593;87;3;11;;x
3594;129;6;139;;x
3595;171;9;12;;x
3596;3;12;140;;x
3597;45;15;13;;x
3598;87;18;141;;x
3599;129;21;14;;x
3600;171;24;142;;x
3601;3;27;15;;x
3602;45;30;143;;x
3603;87;33;16;;x
3604;129;36;144;;x
3605;171;39;17;;x
3606;3;42;145;;x
3607;45;45;18;;x
3608;87;48;146;;x
3609;129;51;19;;x
3610;171;54;147;;x
3611;3;57;20;;x
3612;45;60;148;;x
3613;87;63;21;;x
3614;129;66;149;;x
3615;171;69;22;;x
3616;3;72;150;;x
3617;45;75;23;;x
3618;87;78;151;;x
3619;129;81;24;;x
3620;171;84;152;;x
3621;3;87;25;;x
3622;45;90;153;;x
3623;87;93;26;;x
3624;129;96;154;;x
3625;171;99;27;;x
3626;3;102;155;;x
3627;45;105;28;;x
3628;87;108;156;;x
3629;129;111;29;;x
3630;171;114;157;;x
3631;3;117;30;;x
3632;45;120;158;;x
3633;87;123;31;;x
3634;129;126;159;;x
3635;171;129;32;;x
3636;3;132;160;;x
3637;45;135;33;;x
3638;87;138;161;;x
3639;129;141;34;;x
3640;171;144;162;;x
3641;3;147;35;;x
3642;45;150;163;;x
3643;87;153;36;;x
3644;129;156;164;;x
3645;171;159;37;;x
3646;3;162;165;;x
3647;45;165;38;;x
3648;87;168;166;;x
3649;129;171;39;;x
3650;171;174;167;;x
3651;3;177;40;;x
3652;45;180;168;;x
3653;87;183;41;;x
3654;129;186;169;;x
3655;171;189;42;;x
3656;3;192;170;;x
3657;45;195;43;;x
3658;87;198;171;;x
3659;129;201;44;;x
3660;171;204;172;;x
3661;3;207;45;;x
3662;45;210;173;;x
3663;87;0;46;;x
3664;129;3;174;;x
3665;171;6;47;;x
3666;3;9;175;;x
3667;45;12;48;;x
3668;87;15;176;;x
3669;129;18;49;;x
3670;171;21;177;;x
3671;3;24;50;;x
3672;45;27;178;;x
3673;87;30;51;;x
3674;129;33;179;;x
